Ensembl Gene ID,Up/Down Regulated,Adjusted Pv-alue,Symbol,Description
AT2G47890,Up,4.51E-05, AT2G47890,B-box type zinc finger protein with CCT domain-containing protein 
AT4G13395,Up,4.66E-05, RTFL12,ROTUNDIFOLIA like 12 
AT4G00330,Up,4.70E-05, CRCK2,Calmodulin-binding receptor-like cytoplasmic kinase 2 
AT2G05310,Down,0.0000475, AT2G05310,Uncharacterized protein 
AT4G21920,Up,4.77E-05, AT4G21920,Uncharacterized protein 
AT5G13720,Down,0.0000483, AT5G13720,Uncharacterized protein family (UPF0114) 
AT4G29050,Up,4.88E-05, AT4G29050,Concanavalin A-like lectin protein kinase family protein 
AT5G55930,Down,0.0000491, OPT1,Oligopeptide transporter 1 
AT5G16930,Up,4.93E-05, AT5G16930,AAA-type ATPase family protein 
AT2G24180,Up,4.99E-05, CYP71B6,Cytochrome p450 71b6 
AT5G09250,Down,0.0000517, KIWI,SsDNA-binding transcriptional regulator 
AT1G75340,Down,0.0000523, AT1G75340,Zinc finger C-x8-C-x5-C-x3-H type family protein 
AT1G48750,Down,0.000055, AT1G48750,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 
AT1G10470,Down,0.0000573, ARR4,Response regulator 4 
AT5G63180,Down,0.0000573, AT5G63180,Pectin lyase-like superfamily protein 
AT4G09620,Down,0.0000575, AT4G09620,Mitochondrial transcription termination factor family protein 
AT5G61770,Up,5.78E-05, PPAN,PETER PAN-like protein 
AT1G67080,Down,0.000058, ABA4,Abscisic acid (aba)-deficient 4 
AT3G50630,Down,0.0000582, KRP2,KIP-related protein 2 
AT1G02520,Up,5.86E-05, ABCB11,P-glycoprotein 11 
AT4G30650,Up,5.87E-05, AT4G30650,Low temperature and salt responsive protein family 
AT1G49475,Down,0.0000594, AT1G49475,AP2/B3-like transcriptional factor family protein 
AT1G29395,Up,6.15E-05, COR413IM1,COLD REGULATED 314 INNER MEMBRANE 1 
AT4G11330,Up,6.15E-05, MPK5,MAP kinase 5 
AT2G47190,Up,6.16E-05, MYB2,Myb domain protein 2 
AT1G69270,Up,6.16E-05, RPK1,Receptor-like protein kinase 1 
AT3G15518,Up,6.16E-05, AT3G15518,Uncharacterized protein 
AT3G03630,Down,0.0000621, CS26,Cysteine synthase 26 
AT1G31240,Up,6.36E-05, AT1G31240,Bromodomain transcription factor 
AT3G56090,Down,0.0000641, FER3,Ferritin 3 
AT3G11080,Up,6.43E-05, RLP35,Receptor like protein 35 
AT1G52400,Up,6.53E-05, BGLU18,Beta glucosidase 18 
AT4G15420,Up,6.65E-05, AT4G15420,Ubiquitin fusion degradation UFD1 family protein 
AT2G19570,Down,0.0000668, CDA1,Cytidine deaminase 1 
AT1G69260,Up,6.75E-05, AFP1,ABI five binding protein 
AT2G01755,Down,0.000068, AT2G01755,Uncharacterized protein 
AT2G47140,Up,7.01E-05, SDR5,NAD(P)-binding Rossmann-fold superfamily protein 
AT5G67430,Up,7.20E-05, AT5G67430,Acyl-CoA N-acyltransferases (NAT) superfamily protein 
AT1G65500,Up,7.24E-05, AT1G65500,Uncharacterized protein 
AT1G79840,Down,0.0000724, GL2,HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain-containing protein 
AT3G09032,Up,7.25E-05, AT3G09032,Josephin-like protein 
AT5G14100,Down,0.0000731, ABCI11,Non-intrinsic ABC protein 14 
AT5G66040,Up,7.41E-05, STR16,Sulfurtransferase protein 16 
AT4G01895,Up,7.49E-05, AT4G01895,Systemic acquired resistance (SAR) regulator protein NIMIN-1-like protein 
AT1G04960,Up,7.56E-05, AT1G04960,Golgin family A protein (DUF1664) 
AT2G29730,Up,7.58E-05, UGT71D1,UDP-glucosyl transferase 71D1 
AT5G67060,Down,0.000076, HEC1,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT2G29290,Down,0.0000779, AT2G29290,NAD(P)-binding Rossmann-fold superfamily protein 
AT3G55730,Up,7.85E-05, MYB109,Myb domain protein 109 
AT5G01910,Down,0.0000785, AT5G01910,Myelin transcription factor 
AT1G64450,Down,0.0000791, AT1G64450,Glycine-rich protein family 
AT4G23170,Up,8.32E-05, EP1,Receptor-like protein kinase-related family protein 
AT2G15042,Up,8.35E-05, AT2G15042,Leucine-rich repeat (LRR) family protein 
AT5G40880,Up,8.35E-05, AT5G40880,WD-40 repeat family protein / zfwd3 protein (ZFWD3) 
AT5G53900,Down,0.0000839, AT5G53900,Serine/threonine-protein kinase WNK (With No Lysine)-like protein 
AT3G50970,Up,8.48E-05, LTI30,Dehydrin family protein 
AT5G25440,Up,8.58E-05, AT5G25440,Protein kinase superfamily protein 
AT5G57190,Up,8.62E-05, PSD2,Phosphatidylserine decarboxylase 2 
AT4G17240,Up,8.65E-05, AT4G17240,Structural maintenance of chromosomes protein 
AT2G01379,Up,8.79E-05, AT2G01379,Uncharacterized protein 
AT1G66130,Down,0.0000884, AT1G66130,NAD(P)-binding Rossmann-fold superfamily protein 
AT5G64230,Up,8.84E-05, AT5G64230,"1,8-cineole synthase "
AT1G14360,Down,0.0000891, UTR3,UDP-galactose transporter 3 
AT5G16650,Down,0.0000891, AT5G16650,Chaperone DnaJ-domain superfamily protein 
AT3G54090,Down,0.0000894, FLN1,Fructokinase-like 1 
AT2G35830,Down,0.00009, AT2G35830,Ureidoglycolate hydrolase 
AT4G20735,Up,9.01E-05, AT4G20735,Uncharacterized protein 
AT1G30960,Up,9.17E-05, AT1G30960,GTP-binding family protein 
AT5G61412,Down,0.0000931, AT5G61412,Uncharacterized protein 
AT4G23410,Down,0.0000959, TET5,Tetraspanin5 
AT1G63840,Up,9.64E-05, AT1G63840,RING/U-box superfamily protein 
AT1G12020,Down,0.0000995, AT1G12020,Uncharacterized protein 
AT5G04980,Up,0.000101986, AT5G04980,DNAse I-like superfamily protein 
AT4G23270,Up,0.000105016, CRK19,Cysteine-rich RLK (RECEPTOR-like protein kinase) 19 
AT1G64065,Up,0.000106945, AT1G64065,Late embryosis abundant (LEA) hydroxyproline-rich glycoprotein family 
AT1G07120,Up,0.000108542, AT1G07120,CHUP1-like protein 
AT1G14160,Down,0.000110568, AT1G14160,Uncharacterized protein family (UPF0497) 
AT1G67520,Up,0.000110962, AT1G67520,Lectin protein kinase family protein 
AT5G13490,Up,0.000111205, AAC2,ADP/ATP carrier 2 
AT3G05410,Down,0.000111473, AT3G05410,Photosystem II reaction center PsbP family protein 
AT4G08780,Up,0.000112243, AT4G08780,Peroxidase superfamily protein 
AT5G59570,Up,0.000112381, BOA,Homeodomain-like superfamily protein 
AT1G68220,Down,0.000112594, AT1G68220,Aerobic coproporphyrinogen-III oxidase (DUF1218) 
AT5G24110,Up,0.000113794, WRKY30,WRKY DNA-binding protein 30 
AT2G19190,Up,0.000114524, FRK1,FLG22-induced receptor-like kinase 1 
AT3G10815,Up,0.000115747, AT3G10815,RING/U-box superfamily protein 
AT1G49840,Down,0.000116997, AT1G49840,Glutamyl-tRNA (Gln) amidotransferase subunit A (DUF620) 
AT3G57750,Up,0.000119489, AT3G57750,Protein kinase superfamily protein 
AT4G38560,Up,0.000119558, AT4G38560,Phospholipase-like protein (PEARLI 4) family protein 
AT5G41730,Up,0.000121128, AT5G41730,Protein kinase family protein 
AT1G15550,Down,0.000123155, GA3OX1,Gibberellin 3-oxidase 1 
AT1G03850,Up,0.000123155, GRXS13,Glutaredoxin family protein 
AT5G49665,Down,0.000123328, AT5G49665,Zinc finger (C3HC4-type RING finger) family protein 
AT2G42110,Down,0.000126293, AT2G42110,Uncharacterized protein 
AT4G21830,Up,0.00012803, MSRB7,Methionine sulfoxide reductase B7 
AT5G62040,Down,0.000128574, BFT,PEBP (phosphatidylethanolamine-binding protein) family protein 
AT3G60390,Down,0.000131252, HAT3,Homeobox-leucine zipper protein 3 
AT5G66631,Up,0.000131914, AT5G66631,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT4G26270,Up,0.000132498, PFK3,Phosphofructokinase 3 
AT2G46660,Down,0.000133635, CYP78A6,"Cytochrome P450, family 78, subfamily A, polypeptide 6 "
AT1G53990,Up,0.000134146, GLIP3,GDSL-motif lipase 3 
AT3G14075,Up,0.000136219, AT3G14075,"Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3 "
AT1G13330,Up,0.000139176, AHP2,Tat-binding protein 1(Tbp-1)-interacting protein (TBPIP) 
AT4G19360,Up,0.000139176, AT4G19360,SCD6 protein-like protein 
AT2G32400,Down,0.00014188, GLR5,Glutamate receptor 5 
AT2G01310,Down,0.000143307, AT2G01310,Uncharacterized protein 
AT2G21910,Up,0.000148913, CYP96A5,"Cytochrome P450, family 96, subfamily A, polypeptide 5 "
AT1G15410,Up,0.000148968, AT1G15410,Aspartate-glutamate racemase family 
AT1G10340,Up,0.000151533, AT1G10340,Ankyrin repeat family protein 
AT3G45650,Up,0.000155632, NAXT1,Nitrate excretion transporter1 
AT2G31420,Up,0.000155732, AT2G31420,B3 domain protein (DUF313) 
AT1G08800,Up,0.000156988, AT1G08800,"Myosin-binding protein (Protein of unknown function, DUF593) "
AT5G61600,Up,0.000158117, ERF104,Ethylene response factor 104 
AT3G50810,Down,0.000159114, AT3G50810,Uncharacterized protein family (UPF0497) 
AT3G01650,Up,0.000159693, RGLG1,RING domain ligase1 
AT1G74530,Down,0.000162339, AT1G74530,Uncharacterized protein 
AT5G12930,Up,0.000164933, AT5G12930,Inactive rhomboid protein 
AT1G02450,Up,0.000172019, NIMIN1,NIM1-interacting 1 
AT5G46520,Up,0.000174876, AT5G46520,Disease resistance protein (TIR-NBS-LRR class) family 
AT1G15790,Up,0.000175291, AT1G15790,Mediator of RNA polymerase II transcription subunit 15a-like protein 
AT1G77890,Up,0.000178659, AT1G77890,DNA-directed RNA polymerase II protein 
AT1G70170,Up,0.00018065, MMP,Matrix metalloproteinase 
AT2G25140,Up,0.000180914, CLPB4,Casein lytic proteinase B4 
AT1G23560,Up,0.000182417, AT1G23560,"OBP32pep, putative (DUF220) "
AT4G12120,Up,0.000182417, SEC1B,Sec1/munc18-like (SM) proteins superfamily 
AT1G72416,Down,0.000185271, AT1G72416,Chaperone DnaJ-domain superfamily protein 
AT5G15940,Up,0.000186122, AT5G15940,NAD(P)-binding Rossmann-fold superfamily protein 
AT5G10695,Up,0.000190413, AT5G10695,Methionyl-tRNA synthetase 
AT1G31770,Down,0.000194619, ABCG14,ATP-binding cassette 14 
AT2G46170,Up,0.000195223, AT2G46170,Reticulon family protein 
AT3G12040,Up,0.00019644, AT3G12040,DNA-3-methyladenine glycosylase (MAG) 
AT3G19020,Up,0.000196732, AT3G19020,Leucine-rich repeat (LRR) family protein 
AT1G08400,Down,0.000196732, AT1G08400,RINT-1 / TIP-1 family 
AT2G11215,Up,0.000197536, AT2G11215,Uncharacterized protein 
AT3G63310,Up,0.000198348, BIL4,Bax inhibitor-1 family protein 
AT1G13990,Up,0.000199613, AT1G13990,Plant/protein 
AT1G55340,Down,0.000200664, AT1G55340,
AT2G46430,Up,0.000203788, CNGC3,Cyclic nucleotide gated channel 3 
AT5G48110,Up,0.000205741, AT5G48110,Terpenoid cyclases/Protein prenyltransferases superfamily protein 
AT2G33240,Down,0.000206314, XID,Myosin XI D 
AT4G30340,Up,0.0002083, DGK7,Diacylglycerol kinase 7 
AT1G34315,Up,0.000212333, AT1G34315,Uncharacterized protein 
AT5G36220,Up,0.000212979, CYP81D1,Cytochrome p450 81d1 
AT1G72630,Down,0.000215842, ELF4-L2,ELF4-like 2 
AT2G45350,Down,0.000220057, CRR4,Pentatricopeptide repeat (PPR) superfamily protein 
AT2G42975,Down,0.000220804, AT2G42975,Myosin-G heavy chain-like protein 
AT1G26410,Up,0.000221568, AT1G26410,FAD-binding Berberine family protein 
AT2G20780,Up,0.000222844, AT2G20780,Major facilitator superfamily protein 
AT5G18350,Up,0.000222844, AT5G18350,Disease resistance protein (TIR-NBS-LRR class) family 
AT2G32220,Up,0.000223563, AT2G32220,Ribosomal L27e protein family 
AT5G23810,Down,0.000223647, AAP7,Amino acid permease 7 
AT1G72545,Up,0.000224435, AT1G72545,Uncharacterized protein 
AT4G28940,Up,0.000224734, AT4G28940,Phosphorylase superfamily protein 
AT2G32200,Up,0.000228085, AT2G32200,Cysteine-rich/transmembrane domain A-like protein 
AT1G69040,Down,0.000228826, ACR4,ACT domain repeat 4 
AT4G21410,Up,0.000229554, CRK29,Cysteine-rich RLK (RECEPTOR-like protein kinase) 29 
AT1G30700,Up,0.000235152, AT1G30700,FAD-binding Berberine family protein 
AT2G17620,Down,0.000237683, CYCB2;1,Cyclin B2;1 
AT3G22240,Up,0.000240149, AT3G22240,Cysteine-rich/transmembrane domain PCC1-like protein 
AT5G58210,Up,0.000240521, AT5G58210,Hydroxyproline-rich glycoprotein family protein 
AT3G14610,Up,0.000240921, CYP72A7,"Cytochrome P450, family 72, subfamily A, polypeptide 7 "
AT3G29250,Up,0.000241497, SDR4,NAD(P)-binding Rossmann-fold superfamily protein 
AT5G06790,Down,0.000242276, AT5G06790,Cotton fiber protein 
AT3G25030,Down,0.000244175, AT3G25030,RING/U-box superfamily protein 
AT5G15330,Down,0.000245169, SPX4,SPX domain-containing protein 4 
AT2G28350,Down,0.00024639, ARF10,Auxin response factor 10 
AT1G15170,Up,0.000252304, AT1G15170,MATE efflux family protein 
AT5G23760,Down,0.000254903, AT5G23760,Copper transport protein family 
AT4G15690,Down,0.000257304, AT4G15690,Thioredoxin superfamily protein 
AT1G28680,Up,0.000263534, AT1G28680,HXXXD-type acyl-transferase family protein 
AT3G21300,Up,0.000264048, AT3G21300,RNA methyltransferase family protein 
AT4G10390,Up,0.000264275, AT4G10390,Protein kinase superfamily protein 
AT3G18800,Down,0.000265529, AT3G18800,Uncharacterized protein 
AT1G58225,Up,0.00026742, AT1G58225,Uncharacterized protein 
AT1G23540,Up,0.000271635, PERK12,Protein kinase superfamily protein 
AT2G17705,Up,0.000272907, AT2G17705,Methionine-S-oxide reductase 
AT4G01440,Down,0.000276798, UMAMIT31,Nodulin MtN21 /EamA-like transporter family protein 
AT1G33020,Up,0.000278394, AT1G33020,F-box and associated interaction domains-containing protein 
AT3G15720,Down,0.000279098, AT3G15720,Pectin lyase-like superfamily protein 
AT2G21970,Down,0.00028723, SEP2,Stress enhanced protein 2 
AT4G30430,Up,0.000289608, TET9,Tetraspanin9 
AT4G13110,Up,0.000289955, AT4G13110,BSD domain-containing protein 
AT4G14820,Down,0.000291395, AT4G14820,Pentatricopeptide repeat (PPR) superfamily protein 
AT3G11010,Up,0.000292673, RLP34,Receptor like protein 34 
AT3G22680,Down,0.000292796, RDM1,RNA-DIRECTED DNA METHYLATION 1 
AT3G02480,Down,0.000300864, AT3G02480,Late embryosis abundant protein (LEA) family protein 
AT1G74440,Up,0.000309972, AT1G74440,"ER membrane protein, putative (DUF962) "
AT1G74890,Down,0.000310245, ARR15,Response regulator 15 
AT1G77380,Up,0.000310904, AAP3,Amino acid permease 3 
AT3G63120,Down,0.000311577, CYCP1;1,Cyclin p1;1 
AT2G24030,Down,0.000313067, AT2G24030,Zinc ion binding / nucleic acid binding protein 
AT5G09990,Down,0.000323524, PROPEP5,Elicitor peptide 5 
AT5G06690,Down,0.000328699, WCRKC1,WCRKC thioredoxin 1 
AT4G37670,Up,0.000330694, NAGS2,N-acetyl-l-glutamate synthase 2 
AT1G78100,Down,0.000331851, AUF1,F-box family protein 
AT1G03770,Up,0.00033349, RING1B,RING 1B 
AT3G03341,Up,0.000336514, AT3G03341,Cold-regulated protein 
AT2G10931,Down,0.000340048, AT2G10931,Uncharacterized protein 
AT5G57685,Down,0.000340048, GDU3,Glutamine dumper 3 
AT2G28305,Down,0.000341908, LOG1,Putative lysine decarboxylase family protein 
AT4G37750,Down,0.000342816, ANT,Integrase-type DNA-binding superfamily protein 
AT1G65790,Up,0.000344639, RK1,Receptor kinase 1 
AT5G01250,Up,0.000355552, AT5G01250,"Alpha 1,4-glycosyltransferase family protein "
AT5G27610,Up,0.000363297, ALY1,Protein ALWAYS EARLY 1 
AT4G20320,Up,0.000363338, AT4G20320,CTP synthase family protein 
AT2G18190,Up,0.000367429, AT2G18190,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT5G43170,Up,0.000367675, ZF3,Zinc-finger protein 3 
AT3G53150,Up,0.000370508, UGT73D1,UDP-glucosyl transferase 73D1 
AT5G66560,Down,0.000371437, AT5G66560,Phototropic-responsive NPH3 family protein 
AT2G22770,Up,0.000373819, NAI1,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT1G20530,Down,0.000374229, AT1G20530,Girdin (DUF630 and DUF632) 
AT1G61680,Down,0.000374229, TPS14,Terpene synthase 14 
AT3G12270,Up,0.000374612, PRMT3,Protein arginine methyltransferase 3 
AT5G16600,Down,0.000377819, MYB43,Myb domain protein 43 
AT1G68330,Up,0.000377819, AT1G68330,Membrane-associated kinase regulator 
AT4G28270,Down,0.000380007, RMA2,RING membrane-anchor 2 
AT3G29590,Up,0.000380769, AT5MAT,HXXXD-type acyl-transferase family protein 
AT5G12900,Down,0.000381075, AT5G12900,DNA double-strand break repair RAD50 ATPase 
AT4G24150,Up,0.000381918, GRF8,Growth-regulating factor 8 
AT5G57140,Up,0.000382821, PAP28,Purple acid phosphatase 28 
AT4G15680,Down,0.000382821, AT4G15680,Thioredoxin superfamily protein 
AT5G04475,Down,0.000387261, AT5G04475,Uncharacterized protein 
AT5G23360,Down,0.000390391, AT5G23360,GRAM domain-containing protein / ABA-responsive protein-like protein 
AT3G01940,Down,0.000390538, AT3G01940,"Transmembrane protein, putative (DUF 3339) "
AT3G56170,Up,0.000395827, CAN,Ca-2+ dependent nuclease 
AT4G22780,Up,0.000395827, ACR7,ACT domain repeat 7 
AT1G10050,Up,0.000400187, AT1G10050,Glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein 
AT3G52450,Up,0.000400217, PUB22,Plant U-box 22 
AT1G35350,Up,0.000401115, AT1G35350,EXS (ERD1/XPR1/SYG1) family protein 
AT4G20000,Up,0.000401115, AT4G20000,VQ motif-containing protein 
AT3G22410,Down,0.000403188, AT3G22410,Sec14p-like phosphatidylinositol transfer family protein 
AT1G54385,Down,0.000416197, AT1G54385,ARM repeat superfamily protein 
AT3G10525,Down,0.00042002, LGO,LOSS OF GIANT CELLS FROM ORGANS 
AT5G09225,Down,0.000420706, AT5G09225,Uncharacterized protein 
AT1G61820,Up,0.000422537, BGLU46,Beta glucosidase 46 
AT1G55240,Up,0.000427174, AT1G55240,"Proteinase inhibitor I4, serpin (DUF716) "
AT2G28660,Down,0.000427408, AT2G28660,Chloroplast-targeted copper chaperone protein 
AT1G34180,Up,0.000431928, NAC016,NAC domain containing protein 16 
AT5G24040,Up,0.000443421, AT5G24040,F-box SKIP23-like protein (DUF295) 
AT5G09680,Up,0.000448678, RLF,Reduced lateral root formation 
AT2G30990,Up,0.000456913, AT2G30990,"Arginine N-methyltransferase, putative (DUF688) "
AT5G03310,Down,0.000461775, AT5G03310,SAUR-like auxin-responsive protein family 
AT4G25110,Up,0.000471691, MC2,Metacaspase 2 
AT3G51180,Up,0.000489853, AT3G51180,Zinc finger C-x8-C-x5-C-x3-H type family protein 
AT5G50200,Up,0.00050576, WR3,Nitrate transmembrane transporter 
AT3G44400,Up,0.000510155, AT3G44400,Disease resistance protein (TIR-NBS-LRR class) family 
AT4G37810,Down,0.000510468, AT4G37810,EPIDERMAL PATTERNING FACTOR-like protein 
AT2G15220,Up,0.000512002, AT2G15220,Plant basic secretory protein (BSP) family protein 
AT2G27505,Up,0.000514239, AT2G27505,FBD-like domain family protein 
AT1G03495,Up,0.00052004, AT1G03495,HXXXD-type acyl-transferase family protein 
AT4G34530,Down,0.000529047, CIB1,Cryptochrome-interacting basic-helix-loop-helix 1 
AT5G48970,Up,0.000531077, AT5G48970,Mitochondrial substrate carrier family protein 
AT1G33810,Down,0.000531077, AT1G33810,Zinc finger/BTB domain protein 
AT2G37790,Down,0.000531415, AKR4C10,NAD(P)-linked oxidoreductase superfamily protein 
AT5G18270,Up,0.000535198, ANAC087,NAC domain containing protein 87 
AT4G37530,Up,0.000544704, AT4G37530,Peroxidase superfamily protein 
AT5G24600,Up,0.000547113, AT5G24600,"TRP-like ion channel protein (Protein of unknown function, DUF599) "
AT2G01150,Down,0.000547259, RHA2B,RING-H2 finger protein 2B 
AT4G18340,Down,0.000547259, AT4G18340,Glycosyl hydrolase superfamily protein 
AT3G10270,Down,0.000547411, GYRB1,DNA gyrase subunit B 
AT5G06480,Down,0.000548787, AT5G06480,Immunoglobulin E-set superfamily protein 
AT3G50780,Down,0.000549433, AT3G50780,BTB/POZ domain protein 
AT3G21150,Up,0.000553867, BBX32,B-box 32 
AT5G59220,Up,0.000559908, HAI1,PP2C protein (Clade A protein phosphatases type 2C) 
AT3G02270,Up,0.000560631, AT3G02270,Trimeric LpxA-like enzyme 
AT1G30850,Up,0.000562252, RSH4,Root hair specific 4 
AT1G61410,Up,0.000563184, AT1G61410,DNA double-strand break repair and VJ recombination XRCC4 
AT5G46740,Up,0.000568449, UBP21,Ubiquitin-specific protease 21 
AT3G54100,Up,0.000576083, AT3G54100,O-fucosyltransferase family protein 
AT5G51470,Up,0.000576809, AT5G51470,Auxin-responsive GH3 family protein 
AT3G20490,Up,0.000585173, AT3G20490,Rho GTPase-activating protein 
AT1G07440,Down,0.000586114, AT1G07440,NAD(P)-binding Rossmann-fold superfamily protein 
AT1G07160,Up,0.000598488, AT1G07160,Protein phosphatase 2C family protein 
AT5G19160,Down,0.000598571, TBL11,TRICHOME BIREFRINGENCE-LIKE 11 
AT1G09460,Down,0.000611489, AT1G09460,Carbohydrate-binding X8 domain superfamily protein 
AT1G70420,Up,0.000618152, AT1G70420,"DNA ligase-like protein, putative (DUF1645) "
AT1G72920,Up,0.000620271, AT1G72920,Toll-Interleukin-Resistance (TIR) domain family protein 
AT3G55840,Up,0.000620271, AT3G55840,Hs1pro-1 protein 
AT1G18610,Down,0.000630842, AT1G18610,Galactose oxidase/kelch repeat superfamily protein 
AT5G66620,Up,0.000630925, DAR6,DA1-related protein 6 
AT5G51630,Up,0.000638124, AT5G51630,Disease resistance protein (TIR-NBS-LRR class) family 
AT1G60000,Down,0.000642676, AT1G60000,RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G20520,Up,0.000651563, AT1G20520,"DUF241 domain protein, putative (DUF241) "
AT3G25717,Down,0.000654998, RTFL16,ROTUNDIFOLIA like 16 
AT1G78320,Down,0.000655793, GSTU23,Glutathione S-transferase TAU 23 
AT4G28310,Down,0.000658746, AT4G28310,Microtubule-associated protein 
AT4G13180,Up,0.000658746, AT4G13180,NAD(P)-binding Rossmann-fold superfamily protein 
AT5G57010,Up,0.000658746, AT5G57010,Calmodulin-binding family protein 
AT1G51800,Up,0.000665219, IOS1,Leucine-rich repeat protein kinase family protein 
AT2G19160,Up,0.000665219, AT2G19160,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein "
AT1G20350,Up,0.000666491, TIM17-1,Translocase inner membrane subunit 17-1 
AT1G66570,Up,0.000666491, SUC7,Sucrose-proton symporter 7 
AT5G08070,Down,0.000671134, TCP17,TCP domain protein 17 
AT1G26970,Up,0.000689512, AT1G26970,Protein kinase superfamily protein 
AT1G68723,Up,0.000690867, AT1G68723,Uncharacterized protein 
AT2G32130,Up,0.000697264, AT2G32130,"Intracellular protein transporter, putative (DUF641) "
AT4G35950,Down,0.000699605, RAC6,RAC-like 6 
AT2G27500,Up,0.00070312, AT2G27500,Glycosyl hydrolase superfamily protein 
AT5G49200,Up,0.000710376, AT5G49200,WD-40 repeat family protein / zfwd4 protein (ZFWD4) 
AT1G26440,Up,0.000738585, UPS5,Ureide permease 5 
AT1G62915,Down,0.00074069, AT1G62915,Uncharacterized protein 
AT3G53700,Down,0.000747123, MEE40,Pentatricopeptide repeat (PPR) superfamily protein 
AT1G30720,Up,0.00075084, AT1G30720,FAD-binding Berberine family protein 
AT1G68200,Up,0.000753163, AT1G68200,Zinc finger C-x8-C-x5-C-x3-H type family protein 
AT3G28570,Up,0.00076573, AT3G28570,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT2G13650,Up,0.000769956, GONST1,Golgi nucleotide sugar transporter 1 
AT4G17243,Up,0.000774845, AT4G17243,Uncharacterized protein 
AT4G17245,Up,0.000774845, AT4G17245,RING/U-box superfamily protein 
AT2G32010,Down,0.000775432, CVL1,CVP2 like 1 
AT5G37670,Down,0.000782646, AT5G37670,HSP20-like chaperones superfamily protein 
AT3G53230,Up,0.000783446, AtCDC48B,"ATPase, AAA-type, CDC48 protein "
AT3G57760,Up,0.000787056, AT3G57760,Protein kinase superfamily protein 
AT1G11572,Up,0.000788938, AT1G11572,Plant thionin family protein 
AT2G31425,Up,0.000793189, AT2G31425,Plant invertase/pectin methylesterase inhibitor superfamily protein 
AT5G66070,Up,0.000817156, AT5G66070,RING/U-box superfamily protein 
AT1G13640,Down,0.000823447, AT1G13640,Phosphatidylinositol 3- and 4-kinase family protein 
AT5G66390,Up,0.000829001, AT5G66390,Peroxidase superfamily protein 
AT5G08270,Down,0.000840569, AT5G08270,C5orf35 
AT3G13900,Up,0.000846328, AT3G13900,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein 
AT5G52730,Up,0.000846502, AT5G52730,Copper transport protein family 
AT3G51610,Down,0.00085248, NPU,ATP-dependent helicase/deoxyribonuclease subunit B 
AT5G25190,Down,0.000867879, ESE3,Integrase-type DNA-binding superfamily protein 
AT4G34540,Down,0.000876259, AT4G34540,NmrA-like negative transcriptional regulator family protein 
AT5G35220,Down,0.000885021, EGY1,Peptidase M50 family protein 
AT5G44390,Up,0.000906042, AT5G44390,FAD-binding Berberine family protein 
AT1G18400,Down,0.000917459, BEE1,BR enhanced expression 1 
AT5G52830,Down,0.00092016, WRKY27,WRKY DNA-binding protein 27 
AT4G28400,Up,0.00094242, AT4G28400,Protein phosphatase 2C family protein 
AT1G30730,Up,0.000944234, AT1G30730,FAD-binding Berberine family protein 
AT1G02405,Up,0.000964936, AT1G02405,Proline-rich family protein 
AT2G39560,Down,0.00097382, AT2G39560,Putative membrane lipoprotein 
AT1G49870,Down,0.000985547, AT1G49870,Myosin-2 heavy chain-like protein 
AT4G22850,Down,0.000993616, AT4G22850,SNARE associated Golgi protein family 
AT3G11520,Down,0.001004059, CYCB1;3,CYCLIN B1;3 
AT5G04470,Down,0.001020442, SIM,Cyclin-dependent protein kinase inhibitor 
AT2G29990,Up,0.001026521, NDA2,Alternative NAD(P)H dehydrogenase 2 
AT1G61420,Up,0.001033972, AT1G61420,S-locus lectin protein kinase family protein 
AT3G12870,Down,0.001045547, AT3G12870,Uncharacterized protein 
AT1G77110,Down,0.001051704, PIN6,Auxin efflux carrier family protein 
AT3G60620,Down,0.001053466, CDS5,Cytidinediphosphate diacylglycerol synthase 5 
AT1G70990,Up,0.001057102, AT1G70990,Proline-rich family protein 
AT5G50780,Up,0.001068389, AT5G50780,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein "
AT5G18170,Up,0.001069906, GDH1,Glutamate dehydrogenase 1 
AT4G23015,Up,0.001075803, AT4G23015,Uncharacterized protein 
AT1G62520,Down,0.001077293, AT1G62520,Sulfated surface-like glycoprotein 
AT4G03205,Down,0.001078156, hemf2,Coproporphyrinogen III oxidase 
AT5G42010,Up,0.001081903, AT5G42010,Transducin/WD40 repeat-like superfamily protein 
AT4G27460,Down,0.00108516, CBSX5,Cystathionine beta-synthase (CBS) family protein 
AT1G61380,Up,0.001122769, SD1-29,S-domain-1 29 
AT1G66550,Up,0.001122769, WRKY67,WRKY DNA-binding protein 67 
