Geneid	Chr	Start	End	Strand	Length	control_1	control_2	control_3	uvc_1	uvc_2	uvc_3
gene:AT3G07720	3	2465235	2467270	+	2036	295	175	80	309	87	213
gene:AT3G07730	3	2467862	2469801	+	1940	32	27	5	8	9	0
gene:AT3G07740	3	2469783	2473095	-	3313	161	168	131	275	87	69
gene:AT3G07750	3	2473194	2475575	+	2382	29	93	24	39	9	21
gene:AT3G07760	3	2476306	2478715	+	2410	232	260	161	279	101	105
gene:AT3G07770	3	2478887	2484282	+	5396	479	777	373	676	282	276
gene:AT3G07780	3	2484454	2487126	+	2673	366	340	283	2628	1075	1021
gene:AT3G07790	3	2487313	2489386	+	2074	330	526	241	1645	298	512
gene:AT3G07800	3	2489387	2491180	-	1794	199	179	169	641	98	96
gene:AT3G07810	3	2492260	2495959	+	3700	417	627	306	733	286	735
gene:AT3G07820	3	2496331	2498095	-	1765	0	0	0	0	0	0
gene:AT3G07830	3	2499194	2501035	-	1842	0	0	1	7	0	1
gene:AT3G07840	3	2501893	2503565	-	1673	0	0	0	0	0	0
gene:AT3G07850	3	2505546	2507558	-	2013	0	3	0	18	0	0
gene:AT3G07860	3	2507880	2509589	+	1710	169	122	123	234	113	217
gene:AT3G07870	3	2510570	2512479	+	1910	349	169	120	381	48	130
gene:AT3G07880	3	2513925	2515983	+	2059	647	724	395	666	97	221
gene:AT3G07890	3	2516271	2519545	-	3275	264	252	115	635	97	210
gene:AT3G07900	3	2520701	2523115	+	2415	0	0	0	1	0	2
gene:AT3G07910	3	2522918	2524168	-	1251	46	143	92	390	183	200
gene:AT3G07920	3	2524420	2526229	-	1810	0	0	0	1	0	0
gene:AT3G07930	3	2526513	2528639	+	2127	45	114	136	30	62	35
gene:AT3G07940	3	2528997	2531573	+	2577	66	90	16	81	6	122
gene:AT3G07950	3	2531773	2534545	+	2773	174	233	120	163	97	150
gene:AT3G07960	3	2534776	2538374	+	3599	22	28	8	3	2	1
gene:AT3G07970	3	2540913	2543613	+	2701	0	1	0	24	0	16
gene:AT3G07980	3	2543603	2551360	-	7758	124	157	113	268	176	57
gene:AT3G07990	3	2552394	2554921	+	2528	10	42	1	1	0	1
gene:AT3G08000	3	2554829	2555929	-	1101	50	43	56	0	0	13
gene:AT3G08010	3	2555970	2557505	+	1536	270	468	214	311	111	96
gene:AT3G08020	3	2557437	2561848	-	4412	266	297	179	296	48	80
gene:AT3G08030	3	2563803	2566042	+	2240	360	716	177	1110	423	442
gene:AT3G08040	3	2566196	2569700	-	3505	77	45	3	4	8	0
gene:AT3G08490	3	2573840	2575258	-	1419	0	0	2	0	0	0
gene:AT3G08500	3	2576444	2578276	-	1833	49	51	3	128	5	41
gene:AT3G08505	3	2580077	2582248	-	2172	46	87	17	0	22	24
gene:AT3G08510	3	2582362	2585898	-	3537	756	1153	519	2502	689	830
gene:AT3G08520	3	2586001	2586343	+	343	390	514	311	1431	96	288
gene:AT3G08530	3	2586804	2595654	-	8851	2445	4196	1663	6352	2524	3144
gene:AT3G08550	3	2596023	2599898	+	3876	86	467	158	188	206	152
gene:AT3G08560	3	2600091	2601907	+	1817	0	0	0	0	28	0
gene:AT3G08570	3	2602017	2604664	-	2648	52	34	13	0	1	13
gene:AT3G08580	3	2605435	2607895	-	2461	4442	6352	2899	10572	3017	3779
gene:AT3G08590	3	2608308	2611555	-	3248	632	912	291	8537	2277	1750
gene:AT3G08600	3	2612175	2614018	+	1844	116	116	90	12	40	2
gene:AT3G08610	3	2615426	2616934	-	1509	398	1022	310	1285	382	393
gene:AT3G08620	3	2617707	2620670	+	2964	103	62	39	193	4	35
gene:AT3G08630	3	2620713	2622220	+	1508	41	67	29	160	66	116
gene:AT3G08636	3	2622666	2622845	+	180	0	1	0	0	0	0
gene:AT3G08640	3	2622849	2624308	+	1460	289	245	169	2036	567	645
gene:AT3G08650	3	2624385	2627455	-	3071	457	507	267	1300	77	195
gene:AT3G08660	3	2630974	2633468	+	2495	0	23	30	52	3	13
gene:AT3G08670	3	2633663	2637056	+	3394	160	241	105	220	72	250
gene:AT3G08680	3	2637432	2640935	+	3504	496	481	216	731	70	109
gene:AT3G08690	3	2641012	2642919	+	1908	130	263	143	715	201	144
gene:AT3G08700	3	2643144	2644775	+	1632	0	0	0	0	0	0
gene:AT3G08710	3	2645078	2646604	+	1527	40	127	29	2292	373	389
gene:AT3G08720	3	2648372	2651231	-	2860	47	115	53	3894	868	1348
gene:AT3G08730	3	2651321	2654212	-	2892	132	239	111	1660	270	314
gene:AT3G08740	3	2654622	2656297	-	1676	718	1482	590	1130	158	344
gene:AT3G08750	3	2656716	2657825	-	1110	0	0	0	0	0	0
gene:AT3G08760	3	2657838	2661095	-	3258	196	208	148	2362	1123	492
gene:AT3G08770	3	2664069	2664888	-	820	0	0	0	0	1	0
gene:AT3G08780	3	2666063	2667560	-	1498	98	187	37	327	35	31
gene:AT3G08790	3	2667851	2671105	+	3255	2	1	0	0	0	0
gene:AT3G08800	3	2671052	2675333	+	4282	64	82	3	138	4	1
gene:AT3G08810	3	2675470	2676708	-	1239	0	0	2	15	10	16
gene:AT3G08820	3	2676990	2679265	-	2276	14	18	23	0	0	17
gene:AT3G08840	3	2679435	2686296	-	6862	215	288	91	94	46	146
gene:AT3G08850	3	2686457	2695400	-	8944	643	1002	462	2269	579	478
gene:AT3G08860	3	2696199	2699420	-	3222	0	6	2	1	0	3
gene:AT3G08870	3	2700261	2702745	-	2485	5	9	4	82	19	24
gene:AT3G08880	3	2702973	2704814	+	1842	32	61	2	72	71	0
gene:AT3G08890	3	2706534	2708747	+	2214	94	108	78	9	0	34
gene:AT3G08900	3	2708086	2709949	-	1864	13	34	25	10	0	0
gene:AT3G08910	3	2710065	2712042	-	1978	104	112	86	35	82	70
gene:AT3G08920	3	2712236	2713325	+	1090	75	95	98	254	57	86
gene:AT3G08930	3	2713312	2717366	+	4055	567	598	171	739	220	354
gene:AT3G08940	3	2717557	2718923	+	1367	860	1124	561	3164	746	1312
gene:AT3G08943	3	2718880	2722624	-	3745	157	303	116	857	126	108
gene:AT3G08947	3	2723153	2726951	+	3799	74	50	12	196	9	20
gene:AT3G08950	3	2727193	2729656	+	2464	78	113	38	529	226	116
gene:AT3G08960	3	2729743	2737356	-	7614	278	441	219	548	159	288
gene:AT3G08970	3	2737297	2740549	+	3253	1	28	2	104	0	0
gene:AT3G08980	3	2740745	2742756	+	2012	34	46	32	32	0	25
gene:AT3G08990	3	2742826	2744974	+	2149	56	28	72	383	41	20
gene:AT3G09000	3	2745534	2748525	+	2992	88	183	81	685	231	161
gene:AT3G09010	3	2749908	2752390	+	2483	5	13	0	2203	866	776
gene:AT3G09020	3	2753307	2754621	+	1315	43	1	9	1497	161	514
gene:AT3G09030	3	2754668	2756512	+	1845	168	78	22	114	113	86
gene:AT3G09032	3	2757326	2758349	-	1024	19	47	16	347	97	125
gene:AT3G09035	3	2758812	2760382	+	1571	156	245	240	195	57	85
gene:AT3G09040	3	2760397	2764607	-	4211	3	33	40	171	154	20
gene:AT3G09050	3	2764651	2766144	+	1494	291	293	80	29	43	35
gene:AT3G09055	3	2765069	2765500	-	432	46	142	10	2	41	14
gene:AT3G09060	3	2765812	2768499	-	2688	103	81	59	22	0	21
gene:AT3G09070	3	2768641	2771375	-	2735	657	476	405	449	148	227
gene:AT3G09080	3	2776150	2781901	-	5752	0	20	0	2	0	5
gene:AT3G09085	3	2782133	2782740	+	608	44	77	9	7	121	79
gene:AT3G09090	3	2782698	2787930	-	5233	457	567	261	1229	111	174
gene:AT3G09100	3	2787953	2793547	-	5595	559	401	245	1706	466	393
gene:AT3G09110	3	2794165	2795991	-	1827	0	1	0	2	0	0
gene:AT3G09120	3	2796958	2798764	-	1807	0	1	0	0	0	0
gene:AT3G09130	3	2799312	2800505	+	1194	0	0	0	0	0	0
gene:AT3G09140	3	2800853	2802795	-	1943	0	7	1	0	0	1
gene:AT3G09150	3	2803528	2805922	+	2395	181	164	11	251	79	78
gene:AT3G09160	3	2805779	2807055	-	1277	46	34	0	11	0	24
gene:AT3G09162	3	2807214	2808327	-	1114	29	106	42	1	0	3
gene:AT3G09180	3	2819040	2821441	+	2402	78	192	24	315	74	53
gene:AT3G09190	3	2821448	2822936	-	1489	78	59	30	4	18	3
gene:AT3G09200	3	2823088	2825241	-	2154	1783	3125	1075	3566	1103	1763
gene:AT3G09210	3	2825142	2826922	-	1781	367	508	273	215	33	193
gene:AT3G09220	3	2827190	2830655	-	3466	4	2	2	16	10	1
gene:AT3G09230	3	2833346	2835390	+	2045	55	74	0	29	13	29
gene:AT3G09240	3	2835381	2838202	-	2822	0	4	0	0	0	0
gene:AT3G09250	3	2838943	2840614	+	1672	203	169	40	44	26	37
gene:AT3G09260	3	2840477	2843781	-	3305	107	43	112	431	186	84
gene:AT3G09270	3	2848183	2849686	-	1504	39	1	5	365	26	16
gene:AT3G09280	3	2850735	2851272	-	538	0	0	0	0	0	0
gene:AT3G09290	3	2856037	2856897	+	861	0	1	0	0	0	0
gene:AT3G09300	3	2857847	2860668	+	2822	324	388	262	1146	100	312
gene:AT3G09310	3	2860402	2861359	-	958	29	39	70	26	46	40
gene:AT3G09320	3	2861379	2864262	-	2884	104	240	98	101	2	63
gene:AT3G09330	3	2864682	2867357	-	2676	0	0	0	0	0	0
gene:AT3G09340	3	2867912	2870600	-	2689	1	0	0	1	0	0
gene:AT3G09350	3	2870970	2873332	+	2363	48	163	55	441	82	120
gene:AT3G09360	3	2873412	2878591	+	5180	255	282	165	648	29	27
gene:AT3G09370	3	2879353	2882396	+	3044	62	93	9	313	19	15
gene:AT3G09380	3	2885064	2886095	-	1032	0	0	0	0	0	0
gene:AT3G09390	3	2889406	2890574	-	1169	1508	2090	709	1843	637	930
gene:AT3G09400	3	2891040	2893629	-	2590	0	3	0	7	1	2
gene:AT3G09405	3	2894798	2897674	-	2877	0	6	1	2519	553	745
gene:AT3G09410	3	2897638	2901055	-	3418	63	210	77	275	120	121
gene:AT3G09430	3	2901199	2903217	+	2019	33	7	0	0	0	0
gene:AT3G09440	3	2902355	2905947	-	3593	795	1236	409	17786	4510	4451
gene:AT3G09450	3	2907479	2910206	+	2728	0	2	0	1	0	0
gene:AT3G09455	3	2910411	2911354	-	944	5	75	131	70	1	9
gene:AT3G09470	3	2911455	2914572	-	3118	121	165	43	15	11	28
gene:AT3G09480	3	2914701	2915442	-	742	21	36	56	1	0	16
gene:AT3G09490	3	2915550	2916870	+	1321	12	0	0	38	0	47
gene:AT3G09500	3	2916922	2918247	+	1326	887	1630	524	1047	678	365
gene:AT3G09510	3	2921804	2923258	+	1455	0	0	0	0	0	0
gene:AT3G09520	3	2923518	2925889	+	2372	19	1	3	3	24	0
gene:AT3G09530	3	2926042	2928569	+	2528	0	0	0	0	0	0
gene:AT3G09540	3	2928752	2931362	-	2611	97	42	36	248	31	15
gene:AT3G09550	3	2931101	2934365	+	3265	11	17	1	90	0	0
gene:AT3G09560	3	2934592	2939511	-	4920	180	359	172	694	33	212
gene:AT3G09570	3	2940305	2942203	+	1899	152	290	73	1376	170	318
gene:AT3G09580	3	2942158	2944457	-	2300	225	295	109	14	38	20
gene:AT3G09590	3	2944938	2945513	+	576	0	0	0	0	0	0
gene:AT3G09600	3	2946239	2949017	+	2779	26	6	17	0	0	0
gene:AT3G09620	3	2949152	2952220	-	3069	0	1	0	0	0	0
gene:AT3G09630	3	2953693	2955748	+	2056	1227	2104	585	4733	1085	1261
gene:AT3G09640	3	2956156	2958330	+	2175	0	0	0	0	0	0
gene:AT3G09650	3	2958676	2961299	+	2624	285	348	120	143	1	97
gene:AT3G09660	3	2961233	2966231	-	4999	37	29	0	133	5	2
gene:AT3G09670	3	2966201	2969058	+	2858	247	216	67	419	55	87
gene:AT3G09680	3	2969045	2970371	-	1327	0	3	0	0	0	0
gene:AT3G09690	3	2971813	2974843	+	3031	88	229	65	209	70	52
gene:AT3G09700	3	2974802	2976318	-	1517	39	61	6	16	47	85
gene:AT3G09710	3	2976572	2979784	-	3213	37	107	61	91	10	53
gene:AT3G09720	3	2979772	2983618	-	3847	139	148	58	183	27	62
gene:AT3G09730	3	2983860	2986594	+	2735	3	66	0	0	22	0
gene:AT3G09735	3	2986398	2987990	-	1593	223	369	97	777	126	214
gene:AT3G09740	3	2989356	2991664	+	2309	597	684	212	1095	419	196
gene:AT3G09750	3	2991655	2992679	-	1025	1	0	0	0	0	0
gene:AT3G09760	3	2992654	2995694	-	3041	29	170	83	172	49	28
gene:AT3G09770	3	2996179	2998255	-	2077	514	716	410	647	261	386
gene:AT3G09780	3	3000714	3003454	-	2741	12	40	0	0	1	13
gene:AT3G09790	3	3003862	3006250	-	2389	0	0	0	0	0	0
gene:AT3G09800	3	3006428	3008610	-	2183	70	212	59	119	5	34
gene:AT3G09810	3	3008499	3011465	+	2967	264	153	102	737	152	310
gene:AT3G09820	3	3011780	3014944	+	3165	1647	2589	833	3031	1114	743
gene:AT3G09830	3	3016490	3019103	+	2614	24	63	79	2739	588	561
gene:AT3G09840	3	3019249	3023052	+	3804	3366	3599	1917	11672	3553	3804
gene:AT3G09850	3	3023141	3025945	-	2805	541	476	155	1009	129	277
gene:AT3G09860	3	3025993	3027250	+	1258	305	526	156	482	106	125
gene:AT3G09863	3	3027292	3027423	+	132	0	0	0	0	0	0
gene:AT3G09870	3	3027424	3027961	-	538	0	0	21	16	2	25
gene:AT3G09880	3	3029471	3032399	+	2929	135	349	249	435	99	165
gene:AT3G09890	3	3032503	3034497	+	1995	39	118	54	87	70	34
gene:AT3G09900	3	3034477	3036961	+	2485	282	301	57	4	62	85
gene:AT3G09910	3	3036611	3038502	-	1892	0	2	0	0	0	0
gene:AT3G09920	3	3038780	3044989	-	6210	341	280	137	434	331	462
gene:AT3G09922	3	3050989	3051530	+	542	0	1	6	11	5	0
gene:AT3G09925	3	3051609	3052850	-	1242	0	0	0	2	0	0
gene:AT3G09930	3	3053237	3055510	+	2274	0	1	5	0	0	1
gene:AT3G09940	3	3056375	3059244	-	2870	1	0	0	147	73	97
gene:AT3G09950	3	3060090	3060720	-	631	0	0	0	0	3	0
gene:AT3G09960	3	3061945	3063594	+	1650	0	0	0	0	0	37
gene:AT3G09970	3	3063736	3065577	+	1842	103	193	104	243	123	18
gene:AT3G09980	3	3069090	3071531	+	2442	950	1049	832	253	78	182
gene:AT3G09990	3	3072662	3075142	-	2481	1	0	0	0	0	0
gene:AT3G10000	3	3076781	3079188	+	2408	3	0	0	1	0	2
gene:AT3G10010	3	3081735	3088550	-	6816	337	473	205	217	54	131
gene:AT3G10020	3	3090806	3091922	-	1117	384	426	153	809	217	191
gene:AT3G10030	3	3092016	3095025	-	3010	276	289	115	456	105	207
gene:AT3G10040	3	3096345	3098417	-	2073	58	46	10	44	2	0
gene:AT3G10050	3	3098725	3102048	-	3324	186	411	107	579	176	381
gene:AT3G10060	3	3102074	3104014	+	1941	343	608	208	332	36	223
gene:AT3G10070	3	3103880	3106826	-	2947	139	145	80	127	40	55
gene:AT3G10080	3	3107266	3108385	-	1120	464	717	413	559	246	171
gene:AT3G10090	3	3108789	3110094	-	1306	109	295	86	407	13	128
gene:AT3G10110	3	3116110	3117894	+	1785	0	30	25	178	44	32
gene:AT3G10113	3	3117896	3119391	-	1496	0	0	0	0	0	0
gene:AT3G10116	3	3125749	3126619	+	871	0	1	0	0	0	0
gene:AT3G10130	3	3130063	3133329	-	3267	338	455	201	633	165	295
gene:AT3G10120	3	3130072	3130891	+	820	220	251	114	92	83	94
gene:AT3G10140	3	3134873	3137417	+	2545	46	75	52	1	12	0
gene:AT3G10150	3	3137362	3139169	-	1808	2	1	0	6	0	0
gene:AT3G10160	3	3139383	3144615	-	5233	331	489	186	179	130	74
gene:AT3G10185	3	3145526	3146283	+	758	5	0	0	0	0	0
gene:AT3G10180	3	3146129	3154815	-	8687	43	32	63	347	85	17
gene:AT3G10190	3	3155223	3156187	+	965	5	70	0	9	3	4
gene:AT3G10195	3	3156551	3157011	-	461	1	0	0	0	0	1
gene:AT3G10200	3	3157472	3160874	+	3403	115	104	0	0	36	35
gene:AT3G10210	3	3160089	3161725	-	1637	83	92	11	0	0	40
gene:AT3G10220	3	3161706	3164231	+	2526	39	232	83	8	16	47
gene:AT3G10230	3	3164075	3166038	-	1964	197	384	226	292	111	153
gene:AT3G10240	3	3166698	3167867	+	1170	0	0	0	1	0	0
gene:AT3G10250	3	3167922	3170957	-	3036	184	124	94	8	3	135
gene:AT3G10260	3	3171177	3172996	-	1820	231	202	138	834	319	504
gene:AT3G10270	3	3173299	3179786	-	6488	271	346	275	186	19	57
gene:AT3G10280	3	3180064	3181611	+	1548	0	0	0	0	0	0
gene:AT3G10290	3	3183403	3185427	-	2025	0	7	0	0	0	1
gene:AT3G10300	3	3186038	3188540	+	2503	113	114	77	1088	311	391
gene:AT3G10310	3	3189918	3195302	+	5385	23	39	18	253	121	27
gene:AT3G10320	3	3195314	3197457	-	2144	2	1	0	67	3	42
gene:AT3G10330	3	3199712	3201966	+	2255	94	119	65	386	25	42
gene:AT3G10340	3	3203988	3208135	+	4148	222	185	175	1172	683	476
gene:AT3G10350	3	3208233	3211294	+	3062	234	394	255	384	79	130
gene:AT3G10360	3	3210884	3215621	-	4738	412	422	283	993	90	143
gene:AT3G10370	3	3216339	3219270	+	2932	235	297	96	937	156	263
gene:AT3G10380	3	3219507	3229034	-	9528	859	1217	368	2437	269	405
gene:AT3G10390	3	3229060	3232531	+	3472	186	210	73	231	55	53
gene:AT3G10405	3	3232457	3235289	-	2833	130	278	231	224	97	97
gene:AT3G10400	3	3232608	3233690	+	1083	6	30	63	204	22	66
gene:AT3G10410	3	3235290	3238267	-	2978	1214	1301	675	3073	926	808
gene:AT3G10420	3	3238996	3242599	+	3604	208	368	164	336	36	141
gene:AT3G10430	3	3242750	3243862	-	1113	0	0	0	0	0	0
gene:AT3G10439	3	3245231	3245329	-	99	0	15	0	0	0	0
gene:AT3G10440	3	3245329	3249355	+	4027	33	92	1	149	50	2
gene:AT3G10450	3	3249513	3252582	+	3070	1	32	0	1	3	0
gene:AT3G10455	3	3252566	3253164	+	599	0	0	0	0	0	0
gene:AT3G10460	3	3255767	3256439	+	673	0	0	0	0	0	0
gene:AT3G10470	3	3260141	3261854	+	1714	14	13	0	153	1	1
gene:AT3G10480	3	3264194	3267695	+	3502	215	341	189	861	352	169
gene:AT3G10490	3	3267825	3271202	+	3378	260	328	89	469	283	295
gene:AT3G10500	3	3271217	3274176	+	2960	100	49	54	1182	417	691
gene:AT3G10510	3	3274220	3275551	-	1332	0	1	0	1	0	0
gene:AT3G10520	3	3276163	3277930	-	1768	199	268	201	54	24	21
gene:AT3G10525	3	3281306	3282131	-	826	197	256	119	73	9	32
gene:AT3G10527	3	3281676	3282050	+	375	177	231	83	73	9	32
gene:AT3G10530	3	3285832	3288880	+	3049	138	227	64	1523	115	193
gene:AT3G10540	3	3289677	3292909	+	3233	209	155	6	245	116	199
gene:AT3G10550	3	3292890	3298621	-	5732	205	242	92	162	94	90
gene:AT3G10560	3	3299893	3301704	+	1812	0	1	0	0	0	39
gene:AT3G10570	3	3301887	3303982	+	2096	1	0	8	0	0	0
gene:AT3G10572	3	3304225	3306504	+	2280	27	106	45	95	0	2
gene:AT3G10580	3	3307051	3308237	-	1187	0	3	0	0	0	0
gene:AT3G10585	3	3308489	3309509	-	1021	0	0	0	0	0	0
gene:AT3G10590	3	3310208	3311327	-	1120	1	13	0	16	5	0
gene:AT3G10595	3	3311785	3312831	-	1047	0	1	0	0	0	0
gene:AT3G10600	3	3313953	3317340	+	3388	12	12	0	27	22	30
gene:AT3G10605	3	3318194	3318881	-	688	0	0	0	380	19	27
gene:AT3G10610	3	3318975	3320187	+	1213	134	245	41	451	86	107
gene:AT3G10620	3	3320163	3321724	+	1562	86	178	69	283	207	36
gene:AT3G10630	3	3321463	3323272	-	1810	158	159	38	43	1	49
gene:AT3G10640	3	3323271	3325085	-	1815	141	289	67	1966	674	524
gene:AT3G10650	3	3325074	3331282	-	6209	538	672	262	2115	638	653
gene:AT3G10660	3	3331064	3334986	-	3923	1	14	2	36	0	0
gene:AT3G10670	3	3335004	3337446	-	2443	155	455	98	563	104	124
gene:AT3G10680	3	3337689	3339345	+	1657	168	192	225	436	104	159
gene:AT3G10690	3	3339392	3346360	-	6969	311	400	211	631	165	107
gene:AT3G10700	3	3346509	3351170	-	4662	77	199	31	99	2	16
gene:AT3G10710	3	3352077	3354375	+	2299	0	0	0	11	0	1
gene:AT3G10720	3	3354406	3357754	-	3349	41	60	101	738	127	145
gene:AT3G10730	3	3358288	3360702	-	2415	108	115	70	113	49	99
gene:AT3G10740	3	3360711	3365739	-	5029	1161	2225	794	3056	608	565
gene:AT3G10750	3	3366927	3368791	+	1865	1	1	36	118	0	2
gene:AT3G10760	3	3369479	3371575	+	2097	227	366	89	440	119	82
gene:AT3G10770	3	3372092	3374314	-	2223	240	540	259	623	146	118
gene:AT3G10780	3	3375105	3376335	+	1231	0	0	0	0	0	0
gene:AT3G10790	3	3377410	3378369	+	960	0	0	0	0	0	0
gene:AT3G10800	3	3379168	3381621	+	2454	223	215	87	1621	252	284
gene:AT3G10810	3	3381628	3384664	-	3037	180	287	86	720	80	197
gene:AT3G10815	3	3384807	3386533	-	1727	0	1	6	227	94	52
gene:AT3G10820	3	3387078	3391003	+	3926	44	138	85	128	38	84
gene:AT3G10840	3	3390153	3393536	-	3384	73	189	21	0	40	47
gene:AT3G10845	3	3394009	3397526	+	3518	1	11	0	0	0	0
gene:AT3G10850	3	3397549	3399761	-	2213	649	701	350	435	173	376
gene:AT3G10860	3	3399550	3400926	+	1377	592	760	380	1675	537	498
gene:AT3G10870	3	3400824	3402776	-	1953	182	430	133	440	100	38
gene:AT3G10880	3	3405800	3407921	+	2122	35	52	39	0	32	13
gene:AT3G10890	3	3407332	3409000	-	1669	0	0	0	0	0	0
gene:AT3G10900	3	3410252	3412070	-	1819	0	0	16	2	0	0
gene:AT3G10910	3	3412911	3414019	-	1109	0	6	0	17	0	0
gene:AT3G10915	3	3415933	3417809	-	1877	190	154	118	560	308	152
gene:AT3G10920	3	3417940	3419892	+	1953	922	1165	479	4081	1208	1246
gene:AT3G10930	3	3420081	3420932	-	852	1	0	0	2029	323	317
gene:AT3G10940	3	3422034	3423455	-	1422	147	132	8	555	268	195
gene:AT3G10950	3	3423893	3424566	+	674	0	0	0	0	0	2
gene:AT3G10960	3	3424813	3427058	-	2246	59	25	59	465	26	22
gene:AT3G10970	3	3432811	3436403	-	3593	409	741	258	726	125	128
gene:AT3G10974	3	3436911	3437416	+	506	0	0	0	0	0	0
gene:AT3G10980	3	3438212	3441299	+	3088	209	220	90	1239	357	355
gene:AT3G10985	3	3442237	3443680	+	1444	366	407	318	2004	418	784
gene:AT3G10986	3	3444077	3445772	-	1696	0	0	0	6	59	21
gene:AT3G10990	3	3446462	3446995	-	534	0	0	0	0	0	0
gene:AT3G11000	3	3447568	3450589	+	3022	1	2	2	6	0	0
gene:AT3G11010	3	3450496	3453985	-	3490	25	76	44	471	94	393
gene:AT3G11020	3	3455355	3457342	+	1988	90	111	8	1162	424	416
gene:AT3G11030	3	3456257	3459380	-	3124	195	108	15	645	197	246
gene:AT3G11040	3	3459939	3463484	+	3546	70	52	2	111	54	24
gene:AT3G11050	3	3463477	3465506	+	2030	5	0	0	2	0	0
gene:AT3G11060	3	3466303	3466944	-	642	0	0	0	1	0	0
gene:AT3G11070	3	3467704	3470233	+	2530	178	230	85	133	14	67
gene:AT3G11080	3	3470304	3473685	+	3382	14	14	3	216	80	74
gene:AT3G11090	3	3474922	3475848	+	927	32	125	27	1	2	253
gene:AT3G11100	3	3476187	3477900	-	1714	257	178	128	184	37	44
gene:AT3G11110	3	3479673	3480629	+	957	47	37	22	0	0	0
gene:AT3G11120	3	3481020	3481485	+	466	210	408	189	902	137	259
gene:AT3G11130	3	3482149	3492065	-	9917	3466	3968	1794	6439	2925	3209
gene:AT3G11150	3	3492804	3494653	-	1850	26	12	0	0	0	0
gene:AT3G11160	3	3496035	3497163	-	1129	31	1	0	0	2	0
gene:AT3G11165	3	3497806	3499090	-	1285	13	0	0	0	0	0
gene:AT3G11170	3	3499537	3502452	+	2916	1378	1733	910	3952	927	1584
gene:AT3G11180	3	3503917	3507113	+	3197	0	0	0	0	0	0
gene:AT3G11200	3	3507996	3510658	-	2663	410	393	232	960	240	245
gene:AT3G11210	3	3510663	3513379	-	2717	0	1	2	1	0	0
gene:AT3G11220	3	3513350	3516447	-	3098	60	67	23	497	103	21
gene:AT3G11230	3	3516563	3518477	+	1915	151	198	94	461	90	265
gene:AT3G11240	3	3518472	3521188	-	2717	39	104	41	15	47	35
gene:AT3G11250	3	3521329	3523071	+	1743	167	430	198	1180	166	159
gene:AT3G11260	3	3527280	3528440	+	1161	0	0	0	0	0	0
gene:AT3G11270	3	3528801	3531724	+	2924	111	181	42	143	49	48
gene:AT3G11280	3	3533207	3534994	-	1788	1510	1275	868	1770	157	338
gene:AT3G11290	3	3535561	3537904	-	2344	94	162	109	51	0	0
gene:AT3G11300	3	3539347	3540473	-	1127	0	0	0	0	0	0
gene:AT3G11310	3	3542536	3544333	-	1798	0	0	0	0	0	0
gene:AT3G11320	3	3546276	3548877	-	2602	185	196	86	1173	182	150
gene:AT3G11325	3	3549771	3551800	-	2030	0	0	0	0	0	0
gene:AT3G11330	3	3551759	3554843	-	3085	416	376	132	529	151	343
gene:AT3G11340	3	3556554	3558361	+	1808	16	14	26	176	154	997
gene:AT3G11350	3	3558495	3560078	+	1584	4	0	0	0	0	1
gene:AT3G11370	3	3561052	3563059	+	2008	0	0	0	1	0	0
gene:AT3G11380	3	3564079	3565779	+	1701	0	0	0	0	0	0
gene:AT3G11385	3	3566517	3568975	+	2459	0	1	1	0	0	0
gene:AT3G11390	3	3569828	3572062	+	2235	0	1	0	0	0	0
gene:AT3G11402	3	3573319	3575803	+	2485	0	0	0	0	0	135
gene:AT3G11397	3	3576017	3578082	+	2066	203	149	87	170	8	66
gene:AT3G11400	3	3578234	3580569	+	2336	305	583	253	1060	357	395
gene:AT3G11405	3	3580895	3581359	+	465	0	0	0	0	0	0
gene:AT3G11410	3	3583782	3585850	-	2069	710	613	276	504	212	283
gene:AT3G11420	3	3591251	3594589	+	3339	122	113	93	758	168	104
gene:AT3G11430	3	3595694	3597952	+	2259	0	0	0	1	6	0
gene:AT3G11440	3	3602036	3605172	+	3137	79	101	47	45	1	54
gene:AT3G11450	3	3605126	3608092	-	2967	660	854	343	1519	365	596
gene:AT3G11460	3	3608250	3610121	+	1872	37	31	7	147	0	7
gene:AT3G11470	3	3610147	3612639	-	2493	16	37	26	1	0	0
gene:AT3G11480	3	3614421	3617342	+	2922	0	0	0	0	0	0
gene:AT3G11490	3	3617264	3620064	-	2801	253	300	144	1089	97	63
gene:AT3G11500	3	3620962	3622637	-	1676	230	268	140	108	82	167
gene:AT3G11510	3	3623448	3624961	-	1514	909	1341	347	1886	573	481
gene:AT3G11520	3	3625286	3627273	-	1988	53	84	6	0	0	0
gene:AT3G11530	3	3628530	3630536	-	2007	208	164	116	486	57	123
gene:AT3G11540	3	3631887	3638100	+	6214	384	390	118	374	192	253
gene:AT3G11550	3	3638178	3639348	+	1171	0	1	0	0	0	0
gene:AT3G11560	3	3639412	3646061	+	6650	854	1351	661	1806	335	458
gene:AT3G11570	3	3645022	3647542	-	2521	244	218	168	413	155	202
gene:AT3G11580	3	3648902	3651726	-	2825	48	67	31	12	0	15
gene:AT3G11590	3	3660298	3663734	+	3437	526	611	216	357	108	184
gene:AT3G11591	3	3663544	3663986	-	443	26	62	3	11	2	6
gene:AT3G11600	3	3667205	3668303	+	1099	37	7	15	177	59	21
